id,CustomerName,,,Food Item,Quantity,Price
1,MaryVegaDDS,a@test.com,dilshanmuditha.online@gmail.com,Pasta,5,16.52
2,BrandonMyers,a@test.com,BrandonMyers2a@test.com,Brownie,4,17.27
3,MargaretWells,a@test.com,MargaretWells3a@test.com,Pasta,1,3.37
4,MichaelMatthews,a@test.com,MichaelMatthews4a@test.com,Pasta,5,2.2
5,ConnorWilliams,a@test.com,ConnorWilliams5a@test.com,Soup,1,12.23
6,MatthewMiles,a@test.com,MatthewMiles6a@test.com,Brownie,5,7.39
7,CatherineThompson,a@test.com,CatherineThompson7a@test.com,Soup,3,8.31
8,NathanHolland,a@test.com,NathanHolland8a@test.com,Soup,4,2.28
9,AnthonySherman,a@test.com,AnthonySherman9a@test.com,Pasta,1,13.05
10,CarolynRoberts,a@test.com,CarolynRoberts10a@test.com,Cake,4,19.48
11,JohnnyDennis,a@test.com,JohnnyDennis11a@test.com,Burger,5,11.79
12,MichaelBarton,a@test.com,MichaelBarton12a@test.com,Cake,1,20.73
13,HeidiBoyle,a@test.com,HeidiBoyle13a@test.com,Ice Cream,5,4.77
14,GeorgeSmith,a@test.com,GeorgeSmith14a@test.com,Fries,3,3.44
15,ThomasFrazier,a@test.com,ThomasFrazier15a@test.com,Pizza,1,4.84
16,DavidBailey,a@test.com,DavidBailey16a@test.com,Cake,5,19.49
17,LarryHarvey,a@test.com,LarryHarvey17a@test.com,Salad,4,21.98
18,ChristinaCochran,a@test.com,ChristinaCochran18a@test.com,Brownie,1,21.83
19,AaronBruce,a@test.com,AaronBruce19a@test.com,Salad,4,4.72
20,AnnaSmith,a@test.com,AnnaSmith20a@test.com,Pasta,3,21.48
21,AndrewHill,a@test.com,AndrewHill21a@test.com,Fries,3,20.78
22,AngelaSherman,a@test.com,AngelaSherman22a@test.com,Burger,2,10.81
23,AustinCain,a@test.com,AustinCain23a@test.com,Burger,5,19.78
24,ScottClark,a@test.com,ScottClark24a@test.com,Burger,2,17.22
25,CindySmith,a@test.com,CindySmith25a@test.com,Fries,3,16.68
26,ElizabethContreras,a@test.com,ElizabethContreras26a@test.com,Fries,3,15.77
27,RobertSimmons,a@test.com,RobertSimmons27a@test.com,Soup,3,24.45
28,AnaBrooks,a@test.com,AnaBrooks28a@test.com,Soup,3,9.86
29,JasonKing,a@test.com,JasonKing29a@test.com,Salad,4,7.64
30,AndrewStephens,a@test.com,AndrewStephens30a@test.com,Soup,3,24.99
31,CarolLynch,a@test.com,CarolLynch31a@test.com,Ice Cream,1,14.82
32,AmyEllis,a@test.com,AmyEllis32a@test.com,Brownie,5,5.97
33,KathleenMiranda,a@test.com,KathleenMiranda33a@test.com,Pizza,3,19.67
34,LynnSmith,a@test.com,LynnSmith34a@test.com,Cake,1,22.1
35,MichelleRodriguez,a@test.com,MichelleRodriguez35a@test.com,Soup,3,14.6
36,EmilyMcmillan,a@test.com,EmilyMcmillan36a@test.com,Salad,5,17.38
37,GavinGriffin,a@test.com,GavinGriffin37a@test.com,Ice Cream,5,10.42
38,JenniferFriedman,a@test.com,JenniferFriedman38a@test.com,Cake,5,17.18
39,BrittanyHughes,a@test.com,BrittanyHughes39a@test.com,Soup,1,14.27
40,MargaretLopez,a@test.com,MargaretLopez40a@test.com,Soup,1,21.58
41,LoriJames,a@test.com,LoriJames41a@test.com,Burger,1,22.48
42,HeatherWheeler,a@test.com,HeatherWheeler42a@test.com,Salad,2,12.43
43,SusanGlenn,a@test.com,SusanGlenn43a@test.com,Cake,4,21.78
44,RichardLee,a@test.com,RichardLee44a@test.com,Pizza,5,6.59
45,JenniferBarron,a@test.com,JenniferBarron45a@test.com,Salad,1,7.31
46,LaurenFreeman,a@test.com,LaurenFreeman46a@test.com,Brownie,5,12.99
47,MatthewPerry,a@test.com,MatthewPerry47a@test.com,Ice Cream,2,4.37
48,WilliamRasmussen,a@test.com,WilliamRasmussen48a@test.com,Ice Cream,5,10.01
49,AnthonyJennings,a@test.com,AnthonyJennings49a@test.com,Fries,3,22.14
50,JamesNixon,a@test.com,JamesNixon50a@test.com,Soup,1,10.32
51,ShannonYoung,a@test.com,ShannonYoung51a@test.com,Salad,1,10.79
52,LoganMaddox,a@test.com,LoganMaddox52a@test.com,Cake,3,5.18
53,ChristinaDonovan,a@test.com,ChristinaDonovan53a@test.com,Salad,5,3.53
54,JessicaBurke,a@test.com,JessicaBurke54a@test.com,Pasta,4,23.55
55,BrandyLewis,a@test.com,BrandyLewis55a@test.com,Cake,4,6.61
56,SheriWhite,a@test.com,SheriWhite56a@test.com,Salad,5,15.44
57,AmandaMcfarland,a@test.com,AmandaMcfarland57a@test.com,Brownie,3,15.07
58,JamesJones,a@test.com,JamesJones58a@test.com,Soup,1,17.38
59,TamaraWinters,a@test.com,TamaraWinters59a@test.com,Fries,1,19.75
60,JasonPhillips,a@test.com,JasonPhillips60a@test.com,Brownie,2,10.24
61,WyattJackson,a@test.com,WyattJackson61a@test.com,Brownie,1,12
62,NicholeLopez,a@test.com,NicholeLopez62a@test.com,Salad,5,14.18
63,EricGarcia,a@test.com,EricGarcia63a@test.com,Ice Cream,3,8.02
64,MorganSimmons,a@test.com,MorganSimmons64a@test.com,Burger,4,9.02
65,JerrySingh,a@test.com,JerrySingh65a@test.com,Brownie,5,12.07
66,KurtWashington,a@test.com,KurtWashington66a@test.com,Cake,4,10.62
67,MaryJohnson,a@test.com,MaryJohnson67a@test.com,Salad,4,13.08
68,CassandraAlexander,a@test.com,CassandraAlexander68a@test.com,Fries,4,7.58
69,BrittanyCraig,a@test.com,BrittanyCraig69a@test.com,Cake,3,5.33
70,PatrickHanna,a@test.com,PatrickHanna70a@test.com,Pasta,2,4.9
71,WendyNichols,a@test.com,WendyNichols71a@test.com,Cake,4,3.79
72,DakotaHughes,a@test.com,DakotaHughes72a@test.com,Ice Cream,1,17.82
73,JustinPowell,a@test.com,JustinPowell73a@test.com,Pizza,2,9.13
74,JillianJackson,a@test.com,JillianJackson74a@test.com,Brownie,3,21.28
75,ShawnCherry,a@test.com,ShawnCherry75a@test.com,Brownie,3,6.18
76,DillonChurch,a@test.com,DillonChurch76a@test.com,Fries,4,6.95
77,ShannonMoralesPhD,a@test.com,ShannonMoralesPhD77a@test.com,Ice Cream,3,19.07
78,ChristopherBailey,a@test.com,ChristopherBailey78a@test.com,Pizza,4,17.14
79,ConnieRoberts,a@test.com,ConnieRoberts79a@test.com,Soup,2,9.87
80,AimeeWhite,a@test.com,AimeeWhite80a@test.com,Salad,4,4.45
81,DanielFisher,a@test.com,DanielFisher81a@test.com,Brownie,4,22.68
